INFO:root:Episode: 490, Average Reward: 1.20,Max Reward: 6.0 Average Loss: 0.16,exploration rate: 0.9228194228720873
INFO:root:Episode: 500, Average Reward: 1.00,Max Reward: 6.0 Average Loss: 0.31,exploration rate: 0.9214103183288499
INFO:root:Saved model at episode 500 to saved_models\dqn_model_episode_500.pth
INFO:root:Episode: 510, Average Reward: 1.20,Max Reward: 6.0 Average Loss: 0.23,exploration rate: 0.9198789958430607
INFO:root:Episode: 520, Average Reward: 1.00,Max Reward: 6.0 Average Loss: 0.18,exploration rate: 0.9184986629920817
INFO:root:Episode: 530, Average Reward: 0.80,Max Reward: 6.0 Average Loss: 0.17,exploration rate: 0.9171852091250805
INFO:root:Episode: 540, Average Reward: 1.60,Max Reward: 6.0 Average Loss: 0.19,exploration rate: 0.9155899882647921
INFO:root:Episode: 550, Average Reward: 0.60,Max Reward: 6.0 Average Loss: 0.18,exploration rate: 0.9143194740962117
INFO:root:Episode: 560, Average Reward: 1.30,Max Reward: 6.0 Average Loss: 0.33,exploration rate: 0.9128647717679593
INFO:root:Episode: 570, Average Reward: 0.80,Max Reward: 6.0 Average Loss: 0.21,exploration rate: 0.9115571124336423
INFO:root:Episode: 580, Average Reward: 0.60,Max Reward: 6.0 Average Loss: 0.19,exploration rate: 0.9102936909134003
INFO:root:Episode: 590, Average Reward: 0.70,Max Reward: 6.0 Average Loss: 0.15,exploration rate: 0.9090306182084364
INFO:root:Episode: 600, Average Reward: 1.30,Max Reward: 6.0 Average Loss: 0.15,exploration rate: 0.9075635593949963
INFO:root:Saved model at episode 600 to saved_models\dqn_model_episode_600.pth
INFO:root:Episode: 610, Average Reward: 1.50,Max Reward: 6.0 Average Loss: 0.24,exploration rate: 0.9060250031668594
INFO:root:Episode: 620, Average Reward: 1.40,Max Reward: 6.0 Average Loss: 0.31,exploration rate: 0.9045360399067436
INFO:root:Episode: 630, Average Reward: 0.70,Max Reward: 6.0 Average Loss: 0.18,exploration rate: 0.9032795322928703
INFO:root:Episode: 640, Average Reward: 0.90,Max Reward: 6.0 Average Loss: 0.17,exploration rate: 0.9019407788637583
INFO:root:Episode: 650, Average Reward: 1.20,Max Reward: 6.0 Average Loss: 0.16,exploration rate: 0.9005250007158722
INFO:root:Episode: 660, Average Reward: 1.00,Max Reward: 6.0 Average Loss: 0.13,exploration rate: 0.8991668626501901
INFO:root:Episode: 670, Average Reward: 1.50,Max Reward: 6.0 Average Loss: 0.31,exploration rate: 0.8976012320350732
INFO:root:Episode: 680, Average Reward: 1.20,Max Reward: 6.0 Average Loss: 0.24,exploration rate: 0.8961700258302203
INFO:root:Episode: 690, Average Reward: 0.80,Max Reward: 6.0 Average Loss: 0.21,exploration rate: 0.8948423263305412
INFO:root:Episode: 700, Average Reward: 1.00,Max Reward: 6.0 Average Loss: 0.17,exploration rate: 0.8935342984756939
